 350 	 91900  		22.95 %
 351 	 91588  		22.30 %
 352 	 91756  		22.45 %
 353 	 91794  		22.63 %
 354 	 91754  		22.79 %
 355 	 91944  		22.39 %
 356 	 91828  		21.65 %
 357 	 91628  		22.72 %
 358 	 91610  		22.41 %
 359 	 91894  		23.10 %
 360 	 92018  		23.07 %
 361 	 91858  		22.71 %
 362 	 91720  		22.67 %
 363 	 91716  		22.55 %
 364 	 91728  		23.04 %
 365 	 91552  		22.63 %
 366 	 91924  		22.93 %
 367 	 91648  		21.81 %
 368 	 91576  		22.51 %
 369 	 91238  		21.97 %
 370 	 91660  		22.47 %
 371 	 91580  		22.55 %
 372 	 91716  		22.27 %
 373 	 91112  		21.60 %
 374 	 91554  		22.40 %
 375 	 91546  		22.08 %
 376 	 91722  		22.51 %
 377 	 91582  		22.56 %
 378 	 91712  		22.70 %
 379 	 91712  		22.57 %
 380 	 91802  		22.89 %
 381 	 91594  		22.29 %
 382 	 91744  		22.77 %
 383 	 91074  		21.85 %
 384 	 91702  		22.58 %
 385 	 91198  		21.92 %
 386 	 91648  		22.65 %
 387 	 91078  		21.83 %
 388 	 91090  		21.78 %
 389 	 91008  		21.59 %
 390 	 91246  		22.08 %
 391 	 91244  		21.81 %
 392 	 91550  		22.44 %
 393 	 91258  		22.04 %
 394 	 91362  		22.15 %
 395 	 91712  		22.72 %
 396 	 91150  		21.78 %
 397 	 91132  		22.02 %
 398 	 90794  		21.46 %
 399 	 91238  		22.02 %
 400 	 91054  		21.74 %
 401 	 91168  		21.92 %
 402 	 91312  		22.33 %
 403 	 90912  		21.14 %
 404 	 90908  		21.71 %
 405 	 91338  		22.23 %
 406 	 90896  		21.38 %
 407 	 90858  		21.53 %
 408 	 91484  		21.38 %
 409 	 90892  		20.47 %
 410 	 91566  		23.11 %
 411 	 90896  		22.25 %
 412 	 91018  		22.61 %
 413 	 91148  		22.78 %
 414 	 91540  		23.16 %
 415 	 90832  		22.06 %
 416 	 90984  		22.60 %
 417 	 90870  		22.43 %
 418 	 90936  		22.63 %
 419 	 90796  		22.36 %
 420 	 90766  		22.40 %
 421 	 90920  		22.62 %
 422 	 91058  		22.58 %
 423 	 91620  		23.66 %
 424 	 91208  		22.89 %
 425 	 91050  		22.86 %
 426 	 91158  		22.47 %
 427 	 90998  		22.82 %
 428 	 90874  		22.62 %
 429 	 90960  		22.53 %
 430 	 90972  		22.54 %
 431 	 91074  		22.85 %
 432 	 91262  		22.72 %
 433 	 91182  		22.64 %
 434 	 90882  		22.33 %
 435 	 91010  		22.57 %
 436 	 90768  		20.55 %
 437 	 90982  		22.21 %
 438 	 90914  		22.36 %
 439 	 90938  		22.15 %
 440 	 91218  		22.35 %
 441 	 90828  		22.27 %
 442 	 91066  		22.13 %
 443 	 91172  		21.47 %
 444 	 91474  		22.63 %
 445 	 90952  		22.05 %
 446 	 91226  		21.52 %
 447 	 91228  		21.08 %
 448 	 91420  		21.74 %
 449 	 91114  		23.25 %
 450 	 91386  		21.39 %
 451 	 91188  		22.42 %
 452 	 91312  		22.62 %
 453 	 91224  		22.63 %
 454 	 91646  		23.46 %
 455 	 90758  		22.03 %
 456 	 90716  		21.43 %
 457 	 91166  		22.56 %
 458 	 90460  		21.82 %
 459 	 91184  		22.76 %
 460 	 91104  		22.43 %
 461 	 91196  		21.02 %
 462 	 90762  		20.55 %
 463 	 90602  		21.19 %
 464 	 90672  		21.56 %
 465 	 91020  		22.03 %
 466 	 90620  		21.11 %
 467 	 91112  		21.88 %
 468 	 91244  		22.22 %
 469 	 90928  		21.61 %
 470 	 90610  		21.30 %
 471 	 90488  		20.92 %
 472 	 90540  		20.70 %
 473 	 90672  		20.74 %
 474 	 90700  		21.33 %
 475 	 90702  		20.97 %
 476 	 91166  		20.94 %
 477 	 90886  		21.17 %
 478 	 90910  		21.27 %
 479 	 90988  		20.80 %
 480 	 90864  		20.37 %
 481 	 90760  		20.25 %
 482 	 90952  		23.34 %
 483 	 90876  		23.52 %
 484 	 90930  		23.28 %
 485 	 91010  		23.61 %
 486 	 90656  		23.21 %
 487 	 90736  		23.15 %
 488 	 90476  		22.58 %
 489 	 91044  		23.64 %
 490 	 91260  		24.07 %
 491 	 90698  		23.22 %
 492 	 90542  		22.79 %
 493 	 90898  		23.45 %
 494 	 90864  		23.22 %
 495 	 90694  		23.35 %
 496 	 90736  		23.00 %
 497 	 88868  		20.65 %
 498 	 91046  		23.61 %
 499 	 89002  		20.75 %
 500 	 91086  		23.61 %
 501 	 88716  		20.18 %
 502 	 88840  		20.44 %
 503 	 90610  		23.05 %
 504 	 91258  		23.76 %
 505 	 90604  		22.09 %
 506 	 88762  		20.15 %
 507 	 91102  		23.27 %
 508 	 88762  		20.39 %
 509 	 88808  		20.47 %
 510 	 88732  		20.38 %
 511 	 88884  		20.69 %
 512 	 90618  		22.69 %
 513 	 90520  		22.85 %
